Comparison,From JAR,To JAR,Category,Change Type,Severity,Class,Member,Old Value,New Value,Description
semantic-app-commit-1  ->  semantic-app-commit-2,semantic-app-commit-1.jar,semantic-app-commit-2.jar,METHOD,METHOD_ADDED,INFO,com/semantic/semantic_test/error/InvalidCouponException,"<init>(java.lang.String,java.lang.String)",<not present>,"<init>(java.lang.String,java.lang.String)",New method '<init>' in new class 'com/semantic/semantic_test/error/InvalidCouponException'.
semantic-app-commit-1  ->  semantic-app-commit-2,semantic-app-commit-1.jar,semantic-app-commit-2.jar,METHOD,METHOD_ADDED,INFO,com/semantic/semantic_test/error/InvalidCouponException,getCouponCode(),<not present>,getCouponCode(),New method 'getCouponCode' in new class 'com/semantic/semantic_test/error/InvalidCouponException'.
semantic-app-commit-1  ->  semantic-app-commit-2,semantic-app-commit-1.jar,semantic-app-commit-2.jar,METHOD,METHOD_ADDED,INFO,com/semantic/semantic_test/error/InvalidCouponException,getReason(),<not present>,getReason(),New method 'getReason' in new class 'com/semantic/semantic_test/error/InvalidCouponException'.
semantic-app-commit-2  ->  semantic-app-commit-3,semantic-app-commit-2.jar,semantic-app-commit-3.jar,METHOD,METHOD_BODY_CHANGED,MEDIUM,com/semantic/semantic_test/service/QuoteService,createQuote(com.semantic.semantic_test.api.dto.QuoteRequest),922ad069,a60e7f3f,Implementation (bytecode) of 'createQuote' changed.
semantic-app-commit-2  ->  semantic-app-commit-3,semantic-app-commit-2.jar,semantic-app-commit-3.jar,METHOD,METHOD_BODY_CHANGED,MEDIUM,com/semantic/semantic_test/service/QuoteService,"<init>(com.semantic.semantic_test.repo.QuoteRepository,com.semantic.semantic_test.service.QuoteValidator,com.semantic.semantic_test.service.QuotePricingEngine,com.semantic.semantic_test.service.QuoteRiskEngine,java.time.Clock)",6d0b4747,3d1a51af,Implementation (bytecode) of '<init>' changed.
semantic-app-commit-2  ->  semantic-app-commit-3,semantic-app-commit-2.jar,semantic-app-commit-3.jar,METHOD,METHOD_BODY_CHANGED,MEDIUM,com/semantic/semantic_test/service/QuoteService,listQuotes(),675d6128,7bc363e1,Implementation (bytecode) of 'listQuotes' changed.
semantic-app-commit-2  ->  semantic-app-commit-3,semantic-app-commit-2.jar,semantic-app-commit-3.jar,METHOD,METHOD_BODY_CHANGED,MEDIUM,com/semantic/semantic_test/service/QuoteService,getQuote(java.lang.String),5d3c7ed5,1c3a4ba9,Implementation (bytecode) of 'getQuote' changed.
semantic-app-commit-3  ->  semantic-app-commit-4,semantic-app-commit-3.jar,semantic-app-commit-4.jar,METHOD,METHOD_BODY_CHANGED,MEDIUM,com/semantic/semantic_test/service/QuoteValidator,validateCreateRequest(com.semantic.semantic_test.api.dto.QuoteRequest),9fdaf38d,175d9644,Implementation (bytecode) of 'validateCreateRequest' changed.
semantic-app-commit-3  ->  semantic-app-commit-4,semantic-app-commit-3.jar,semantic-app-commit-4.jar,METHOD,METHOD_BODY_CHANGED,MEDIUM,com/semantic/semantic_test/service/QuoteValidator,<init>(),275053aa,5e2f1bf4,Implementation (bytecode) of '<init>' changed.
semantic-app-commit-4  ->  semantic-app-commit-5,semantic-app-commit-4.jar,semantic-app-commit-5.jar,METHOD,METHOD_REMOVED,CRITICAL,com/semantic/semantic_test/api/QuoteController,create(com.semantic.semantic_test.api.dto.QuoteRequest),create(Lcom/semantic/semantic_test/api/dto/QuoteRequest;)Lcom/semantic/semantic_test/api/dto/QuoteResponse;,<removed>,Method 'create' (com.semantic.semantic_test.api.dto.QuoteRequest) removed from 'com/semantic/semantic_test/api/QuoteController'.
semantic-app-commit-4  ->  semantic-app-commit-5,semantic-app-commit-4.jar,semantic-app-commit-5.jar,METHOD,METHOD_REMOVED,CRITICAL,com/semantic/semantic_test/service/QuoteService,"<init>(com.semantic.semantic_test.repo.QuoteRepository,com.semantic.semantic_test.service.QuoteValidator,com.semantic.semantic_test.service.QuotePricingEngine,com.semantic.semantic_test.service.QuoteRiskEngine,java.time.Clock)",<init>(Lcom/semantic/semantic_test/repo/QuoteRepository;Lcom/semantic/semantic_test/service/QuoteValidator;Lcom/semantic/semantic_test/service/QuotePricingEngine;Lcom/semantic/semantic_test/service/QuoteRiskEngine;Ljava/time/Clock;)V,<removed>,"Method '<init>' (com.semantic.semantic_test.repo.QuoteRepository,com.semantic.semantic_test.service.QuoteValidator,com.semantic.semantic_test.service.QuotePricingEngine,com.semantic.semantic_test.service.QuoteRiskEngine,java.time.Clock) removed from 'com/semantic/semantic_test/service/QuoteService'."
semantic-app-commit-4  ->  semantic-app-commit-5,semantic-app-commit-4.jar,semantic-app-commit-5.jar,METHOD,METHOD_BODY_CHANGED,MEDIUM,com/semantic/semantic_test/api/QuoteController,<init>(com.semantic.semantic_test.service.QuoteService),e25a6113,41ef3722,Implementation (bytecode) of '<init>' changed.
semantic-app-commit-4  ->  semantic-app-commit-5,semantic-app-commit-4.jar,semantic-app-commit-5.jar,METHOD,METHOD_BODY_CHANGED,MEDIUM,com/semantic/semantic_test/api/QuoteController,list(),8086dd0b,36140bc8,Implementation (bytecode) of 'list' changed.
semantic-app-commit-4  ->  semantic-app-commit-5,semantic-app-commit-4.jar,semantic-app-commit-5.jar,METHOD,METHOD_BODY_CHANGED,MEDIUM,com/semantic/semantic_test/api/QuoteController,get(java.lang.String),e89f937a,2d3454cb,Implementation (bytecode) of 'get' changed.
semantic-app-commit-4  ->  semantic-app-commit-5,semantic-app-commit-4.jar,semantic-app-commit-5.jar,METHOD,METHOD_BODY_CHANGED,MEDIUM,com/semantic/semantic_test/service/QuoteService,createQuote(com.semantic.semantic_test.api.dto.QuoteRequest),a60e7f3f,4256f4fd,Implementation (bytecode) of 'createQuote' changed.
semantic-app-commit-4  ->  semantic-app-commit-5,semantic-app-commit-4.jar,semantic-app-commit-5.jar,METHOD,METHOD_BODY_CHANGED,MEDIUM,com/semantic/semantic_test/service/QuoteService,listQuotes(),7bc363e1,d72c9e10,Implementation (bytecode) of 'listQuotes' changed.
semantic-app-commit-4  ->  semantic-app-commit-5,semantic-app-commit-4.jar,semantic-app-commit-5.jar,METHOD,METHOD_BODY_CHANGED,MEDIUM,com/semantic/semantic_test/service/QuoteService,getQuote(java.lang.String),1c3a4ba9,e90d3060,Implementation (bytecode) of 'getQuote' changed.
semantic-app-commit-4  ->  semantic-app-commit-5,semantic-app-commit-4.jar,semantic-app-commit-5.jar,CLASS,CLASS_ADDED,INFO,com/semantic/semantic_test/service/IdempotencyStore,,<not present>,com/semantic/semantic_test/service/IdempotencyStore,New type 'com/semantic/semantic_test/service/IdempotencyStore' introduced.
semantic-app-commit-4  ->  semantic-app-commit-5,semantic-app-commit-4.jar,semantic-app-commit-5.jar,FIELD,FIELD_ADDED,INFO,com/semantic/semantic_test/service/IdempotencyStore,keyToQuoteId,<not present>,keyToQuoteId:java.util.concurrent.ConcurrentHashMap,New field 'keyToQuoteId' in new class 'com/semantic/semantic_test/service/IdempotencyStore'.
semantic-app-commit-4  ->  semantic-app-commit-5,semantic-app-commit-4.jar,semantic-app-commit-5.jar,METHOD,METHOD_ADDED,INFO,com/semantic/semantic_test/api/QuoteController,"create(com.semantic.semantic_test.api.dto.QuoteRequest,java.lang.String)",<not present>,"create(com.semantic.semantic_test.api.dto.QuoteRequest,java.lang.String)","Method 'create' (com.semantic.semantic_test.api.dto.QuoteRequest,java.lang.String) added to 'com/semantic/semantic_test/api/QuoteController'."
semantic-app-commit-4  ->  semantic-app-commit-5,semantic-app-commit-4.jar,semantic-app-commit-5.jar,METHOD,METHOD_ADDED,INFO,com/semantic/semantic_test/service/IdempotencyStore,<init>(),<not present>,<init>(),New method '<init>' in new class 'com/semantic/semantic_test/service/IdempotencyStore'.
semantic-app-commit-4  ->  semantic-app-commit-5,semantic-app-commit-4.jar,semantic-app-commit-5.jar,METHOD,METHOD_ADDED,INFO,com/semantic/semantic_test/service/IdempotencyStore,getQuoteId(java.lang.String),<not present>,getQuoteId(java.lang.String),New method 'getQuoteId' in new class 'com/semantic/semantic_test/service/IdempotencyStore'.
semantic-app-commit-4  ->  semantic-app-commit-5,semantic-app-commit-4.jar,semantic-app-commit-5.jar,METHOD,METHOD_ADDED,INFO,com/semantic/semantic_test/service/IdempotencyStore,"putIfAbsent(java.lang.String,java.lang.String)",<not present>,"putIfAbsent(java.lang.String,java.lang.String)",New method 'putIfAbsent' in new class 'com/semantic/semantic_test/service/IdempotencyStore'.
semantic-app-commit-4  ->  semantic-app-commit-5,semantic-app-commit-4.jar,semantic-app-commit-5.jar,METHOD,METHOD_ADDED,INFO,com/semantic/semantic_test/service/QuoteService,"<init>(com.semantic.semantic_test.repo.QuoteRepository,com.semantic.semantic_test.service.QuoteValidator,com.semantic.semantic_test.service.QuotePricingEngine,com.semantic.semantic_test.service.QuoteRiskEngine,com.semantic.semantic_test.service.IdempotencyStore,java.time.Clock)",<not present>,"<init>(com.semantic.semantic_test.repo.QuoteRepository,com.semantic.semantic_test.service.QuoteValidator,com.semantic.semantic_test.service.QuotePricingEngine,com.semantic.semantic_test.service.QuoteRiskEngine,com.semantic.semantic_test.service.IdempotencyStore,java.time.Clock)","Method '<init>' (com.semantic.semantic_test.repo.QuoteRepository,com.semantic.semantic_test.service.QuoteValidator,com.semantic.semantic_test.service.QuotePricingEngine,com.semantic.semantic_test.service.QuoteRiskEngine,com.semantic.semantic_test.service.IdempotencyStore,java.time.Clock) added to 'com/semantic/semantic_test/service/QuoteService'."
semantic-app-commit-4  ->  semantic-app-commit-5,semantic-app-commit-4.jar,semantic-app-commit-5.jar,METHOD,METHOD_ADDED,INFO,com/semantic/semantic_test/service/QuoteService,"createQuote(com.semantic.semantic_test.api.dto.QuoteRequest,java.lang.String)",<not present>,"createQuote(com.semantic.semantic_test.api.dto.QuoteRequest,java.lang.String)","Method 'createQuote' (com.semantic.semantic_test.api.dto.QuoteRequest,java.lang.String) added to 'com/semantic/semantic_test/service/QuoteService'."
semantic-app-commit-5  ->  semantic-app-commit-6,semantic-app-commit-5.jar,semantic-app-commit-6.jar,METHOD,METHOD_BODY_CHANGED,MEDIUM,com/semantic/semantic_test/service/QuoteRiskEngine,"score(com.semantic.semantic_test.api.dto.CustomerTier,java.math.BigDecimal,java.util.List)",c6f9c9e4,7e005bf9,Implementation (bytecode) of 'score' changed.
semantic-app-commit-5  ->  semantic-app-commit-6,semantic-app-commit-5.jar,semantic-app-commit-6.jar,METHOD,METHOD_BODY_CHANGED,MEDIUM,com/semantic/semantic_test/service/QuoteRiskEngine,<init>(),356b168e,ec2f83ae,Implementation (bytecode) of '<init>' changed.
semantic-app-commit-6  ->  semantic-app-commit-7,semantic-app-commit-6.jar,semantic-app-commit-7.jar,METHOD,METHOD_BODY_CHANGED,MEDIUM,com/semantic/semantic_test/service/QuotePricingEngine,"price(com.semantic.semantic_test.api.dto.CustomerTier,java.lang.String,java.lang.String,java.util.List)",643336c6,537cdfb6,Implementation (bytecode) of 'price' changed.
semantic-app-commit-7  ->  semantic-app-commit-8,semantic-app-commit-7.jar,semantic-app-commit-8.jar,METHOD,METHOD_BODY_CHANGED,MEDIUM,com/semantic/semantic_test/service/QuotePricingEngine,"price(com.semantic.semantic_test.api.dto.CustomerTier,java.lang.String,java.lang.String,java.util.List)",537cdfb6,bbbe7b56,Implementation (bytecode) of 'price' changed.
semantic-app-commit-7  ->  semantic-app-commit-8,semantic-app-commit-7.jar,semantic-app-commit-8.jar,METHOD,METHOD_BODY_CHANGED,MEDIUM,com/semantic/semantic_test/service/QuotePricingEngine,<init>(),57a1d4a3,6de88afd,Implementation (bytecode) of '<init>' changed.
semantic-app-commit-8  ->  semantic-app-commit-9,semantic-app-commit-8.jar,semantic-app-commit-9.jar,METHOD,METHOD_BODY_CHANGED,MEDIUM,com/semantic/semantic_test/error/ApiExceptionHandler,handleNotFound(com.semantic.semantic_test.error.QuoteNotFoundException),11306e8b,df69cb3f,Implementation (bytecode) of 'handleNotFound' changed.
semantic-app-commit-8  ->  semantic-app-commit-9,semantic-app-commit-8.jar,semantic-app-commit-9.jar,METHOD,METHOD_BODY_CHANGED,MEDIUM,com/semantic/semantic_test/error/ApiExceptionHandler,handleUnexpected(java.lang.Exception),894621e1,d287d3dd,Implementation (bytecode) of 'handleUnexpected' changed.
semantic-app-commit-8  ->  semantic-app-commit-9,semantic-app-commit-8.jar,semantic-app-commit-9.jar,METHOD,METHOD_BODY_CHANGED,MEDIUM,com/semantic/semantic_test/error/ApiExceptionHandler,<init>(),cccaf152,4f0c7503,Implementation (bytecode) of '<init>' changed.
semantic-app-commit-8  ->  semantic-app-commit-9,semantic-app-commit-8.jar,semantic-app-commit-9.jar,METHOD,METHOD_BODY_CHANGED,MEDIUM,com/semantic/semantic_test/error/ApiExceptionHandler,handleInvalidCoupon(com.semantic.semantic_test.error.InvalidCouponException),078264e1,0ed13ea1,Implementation (bytecode) of 'handleInvalidCoupon' changed.
semantic-app-commit-8  ->  semantic-app-commit-9,semantic-app-commit-8.jar,semantic-app-commit-9.jar,METHOD,METHOD_BODY_CHANGED,MEDIUM,com/semantic/semantic_test/error/ApiExceptionHandler,handleValidation(com.semantic.semantic_test.error.ValidationException),ed1f274d,f70fcdc7,Implementation (bytecode) of 'handleValidation' changed.
semantic-app-commit-8  ->  semantic-app-commit-9,semantic-app-commit-8.jar,semantic-app-commit-9.jar,METHOD,METHOD_BODY_CHANGED,MEDIUM,com/semantic/semantic_test/service/QuoteService,"<init>(com.semantic.semantic_test.repo.QuoteRepository,com.semantic.semantic_test.service.QuoteValidator,com.semantic.semantic_test.service.QuotePricingEngine,com.semantic.semantic_test.service.QuoteRiskEngine,com.semantic.semantic_test.service.IdempotencyStore,java.time.Clock)",189e4e13,836df0e7,Implementation (bytecode) of '<init>' changed.
semantic-app-commit-8  ->  semantic-app-commit-9,semantic-app-commit-8.jar,semantic-app-commit-9.jar,METHOD,METHOD_BODY_CHANGED,MEDIUM,com/semantic/semantic_test/service/QuoteService,createQuote(com.semantic.semantic_test.api.dto.QuoteRequest),4256f4fd,732c3983,Implementation (bytecode) of 'createQuote' changed.
semantic-app-commit-8  ->  semantic-app-commit-9,semantic-app-commit-8.jar,semantic-app-commit-9.jar,METHOD,METHOD_BODY_CHANGED,MEDIUM,com/semantic/semantic_test/service/QuoteService,"createQuote(com.semantic.semantic_test.api.dto.QuoteRequest,java.lang.String)",bc1994e7,a1729f67,Implementation (bytecode) of 'createQuote' changed.
semantic-app-commit-8  ->  semantic-app-commit-9,semantic-app-commit-8.jar,semantic-app-commit-9.jar,METHOD,METHOD_BODY_CHANGED,MEDIUM,com/semantic/semantic_test/service/QuoteService,listQuotes(),d72c9e10,0778189c,Implementation (bytecode) of 'listQuotes' changed.
semantic-app-commit-8  ->  semantic-app-commit-9,semantic-app-commit-8.jar,semantic-app-commit-9.jar,METHOD,METHOD_BODY_CHANGED,MEDIUM,com/semantic/semantic_test/service/QuoteService,getQuote(java.lang.String),e90d3060,d88f9693,Implementation (bytecode) of 'getQuote' changed.
semantic-app-commit-8  ->  semantic-app-commit-9,semantic-app-commit-8.jar,semantic-app-commit-9.jar,CLASS,CLASS_ADDED,INFO,com/semantic/semantic_test/error/IdempotencyConflictException,,<not present>,com/semantic/semantic_test/error/IdempotencyConflictException,New type 'com/semantic/semantic_test/error/IdempotencyConflictException' introduced.
semantic-app-commit-8  ->  semantic-app-commit-9,semantic-app-commit-8.jar,semantic-app-commit-9.jar,FIELD,FIELD_ADDED,INFO,com/semantic/semantic_test/error/IdempotencyConflictException,idempotencyKey,<not present>,idempotencyKey:java.lang.String,New field 'idempotencyKey' in new class 'com/semantic/semantic_test/error/IdempotencyConflictException'.
semantic-app-commit-8  ->  semantic-app-commit-9,semantic-app-commit-8.jar,semantic-app-commit-9.jar,FIELD,FIELD_ADDED,INFO,com/semantic/semantic_test/error/IdempotencyConflictException,existingCustomerId,<not present>,existingCustomerId:java.lang.String,New field 'existingCustomerId' in new class 'com/semantic/semantic_test/error/IdempotencyConflictException'.
semantic-app-commit-8  ->  semantic-app-commit-9,semantic-app-commit-8.jar,semantic-app-commit-9.jar,FIELD,FIELD_ADDED,INFO,com/semantic/semantic_test/error/IdempotencyConflictException,requestedCustomerId,<not present>,requestedCustomerId:java.lang.String,New field 'requestedCustomerId' in new class 'com/semantic/semantic_test/error/IdempotencyConflictException'.
semantic-app-commit-8  ->  semantic-app-commit-9,semantic-app-commit-8.jar,semantic-app-commit-9.jar,METHOD,METHOD_ADDED,INFO,com/semantic/semantic_test/error/ApiExceptionHandler,handleIdempotencyConflict(com.semantic.semantic_test.error.IdempotencyConflictException),<not present>,handleIdempotencyConflict(com.semantic.semantic_test.error.IdempotencyConflictException),Method 'handleIdempotencyConflict' (com.semantic.semantic_test.error.IdempotencyConflictException) added to 'com/semantic/semantic_test/error/ApiExceptionHandler'.
semantic-app-commit-8  ->  semantic-app-commit-9,semantic-app-commit-8.jar,semantic-app-commit-9.jar,METHOD,METHOD_ADDED,INFO,com/semantic/semantic_test/error/IdempotencyConflictException,"<init>(java.lang.String,java.lang.String,java.lang.String)",<not present>,"<init>(java.lang.String,java.lang.String,java.lang.String)",New method '<init>' in new class 'com/semantic/semantic_test/error/IdempotencyConflictException'.
semantic-app-commit-8  ->  semantic-app-commit-9,semantic-app-commit-8.jar,semantic-app-commit-9.jar,METHOD,METHOD_ADDED,INFO,com/semantic/semantic_test/error/IdempotencyConflictException,getIdempotencyKey(),<not present>,getIdempotencyKey(),New method 'getIdempotencyKey' in new class 'com/semantic/semantic_test/error/IdempotencyConflictException'.
semantic-app-commit-8  ->  semantic-app-commit-9,semantic-app-commit-8.jar,semantic-app-commit-9.jar,METHOD,METHOD_ADDED,INFO,com/semantic/semantic_test/error/IdempotencyConflictException,getExistingCustomerId(),<not present>,getExistingCustomerId(),New method 'getExistingCustomerId' in new class 'com/semantic/semantic_test/error/IdempotencyConflictException'.
semantic-app-commit-8  ->  semantic-app-commit-9,semantic-app-commit-8.jar,semantic-app-commit-9.jar,METHOD,METHOD_ADDED,INFO,com/semantic/semantic_test/error/IdempotencyConflictException,getRequestedCustomerId(),<not present>,getRequestedCustomerId(),New method 'getRequestedCustomerId' in new class 'com/semantic/semantic_test/error/IdempotencyConflictException'.
semantic-app-commit-9  ->  semantic-app-commit-10,semantic-app-commit-9.jar,semantic-app-commit-10.jar,CLASS,CLASS_ADDED,INFO,com/semantic/semantic_test/config/RequestIdFilter,,<not present>,com/semantic/semantic_test/config/RequestIdFilter,New type 'com/semantic/semantic_test/config/RequestIdFilter' introduced.
semantic-app-commit-9  ->  semantic-app-commit-10,semantic-app-commit-9.jar,semantic-app-commit-10.jar,FIELD,FIELD_ADDED,INFO,com/semantic/semantic_test/config/RequestIdFilter,HEADER,<not present>,HEADER:java.lang.String,New field 'HEADER' in new class 'com/semantic/semantic_test/config/RequestIdFilter'.
semantic-app-commit-9  ->  semantic-app-commit-10,semantic-app-commit-9.jar,semantic-app-commit-10.jar,FIELD,FIELD_ADDED,INFO,com/semantic/semantic_test/config/RequestIdFilter,MDC_KEY,<not present>,MDC_KEY:java.lang.String,New field 'MDC_KEY' in new class 'com/semantic/semantic_test/config/RequestIdFilter'.
semantic-app-commit-9  ->  semantic-app-commit-10,semantic-app-commit-9.jar,semantic-app-commit-10.jar,METHOD,METHOD_ADDED,INFO,com/semantic/semantic_test/config/RequestIdFilter,<init>(),<not present>,<init>(),New method '<init>' in new class 'com/semantic/semantic_test/config/RequestIdFilter'.
semantic-app-commit-9  ->  semantic-app-commit-10,semantic-app-commit-9.jar,semantic-app-commit-10.jar,METHOD,METHOD_ADDED,INFO,com/semantic/semantic_test/config/RequestIdFilter,"doFilterInternal(jakarta.servlet.http.HttpServletRequest,jakarta.servlet.http.HttpServletResponse,jakarta.servlet.FilterChain)",<not present>,"doFilterInternal(jakarta.servlet.http.HttpServletRequest,jakarta.servlet.http.HttpServletResponse,jakarta.servlet.FilterChain)",New method 'doFilterInternal' in new class 'com/semantic/semantic_test/config/RequestIdFilter'.
